date,value,value2
1942,54558.28221,7539.877301
1944,39130.68182,6147.727273
1946,45789.74359,1189.74359
1948,132995.8506,6751.037344
1950,92717.84232,16477.17842
1951,88611.53846,13023.07692
1952,94686.79245,11705.66038
1953,116449.4382,15640.44944
1954,125263.9405,15862.45353
1955,184820.8955,16477.61194
1956,190985.2941,21860.29412
1957,144056.9395,25772.24199
1958,156183.391,33719.72318
1959,192707.9038,70285.22337
1960,183483.1081,66959.45946
1961,169822.7425,57150.50167
1962,180291.3907,59231.78808
1963,185669.9346,63189.54248
1964,195441.9355,72183.87097
1965,196082.5397,72590.47619
1966,200817.9012,88219.1358
1967,198053.8922,70278.44311
1968,186913.7931,53738.50575
1969,180190.7357,55122.6158
1970,192690.7216,53953.60825
1971,225382.716,84204.93827
